"V1" "geneID" "pSex" "meanM" "meanF" "sexbias" "bias" "pSex_MA" "meanM_MA" "meanF_MA" "sexbias_MA" "bias_MA" "pSex_BH" "pSex_BH_MA" "meandifdif" "meandifdiv" "meandifdiffoSexBiasmales" "meandifdiffoSexBiasfemales" "meandifdifmoSexBiase" "deltaM_M" "deltaM_F" "CHROM" "CHROM_SH"
"1" 1 "LOC110180484" 0.870014870043453 6.11244350787609 6.07821156364709 0.0342319442290018 "U" 7.49992419131216e-49 6.44008969728878 5.91104970276374 0.529039994525044 "U" 0.874336135954265 9.90326335235011e-49 0.494808050296042 15.4545704732959 0.32764618941269 -0.16716186088335 0.49480805029604 0.191439799922957 -0.0982207742788318 "2R" "Auto"
"2" 2 "LOC110191203" 2.18870116755167e-06 5.27069755811904 7.6581244577686 -2.38742689964956 "F" 4.83577113595988e-249 5.09201475171144 7.07209398957768 -1.98007923786624 "F" 3.03088467606096e-05 9.75935294983617e-248 -0.40734766178332 0.829377954213755 -0.1786828064076 -0.58603046819092 0.407347661783319 -0.121075602041352 -0.273300070972541 "2R" "Auto"
"3" 3 "LOC110177613" 0.000294306650477948 7.49647543807432 5.77821631822713 1.71825911984719 "M" 8.10574607378664e-119 8.11135969676976 6.59276707846897 1.51859261830078 "M" 0.0005567906446707 1.81505227775966e-118 -0.19966650154641 0.883797211235424 0.61488425869544 0.81455076024184 -0.1996665015464 0.292939692495101 0.503461569763304 "2R" "Auto"
"4" 4 "LOC110177861" 2.38259250775805e-05 4.53137592296021 2.44513715407003 2.08623876889018 "M" 1.55783304090447e-75 4.57459391990393 3.55478170920522 1.01981221069871 "M" 9.69449109184045e-05 2.39021204078887e-75 -1.06642655819147 0.488828136983199 0.0432179969437199 1.10964455513519 -1.06642655819147 0.0340624992737044 1.62077463088047 "2R" "Auto"
"5" 5 "LOC110191502" 0.000422099015696658 6.61021898447335 5.9900074468584 0.620211537614952 "U" 7.4928901057816e-169 6.73847424066409 6.13460487128907 0.603869369375015 "U" 0.000742318549779882 3.25944850191415e-168 -0.0163421682399369 0.973650654254544 0.12825525619074 0.144597424430669 -0.0163421682399294 0.0692949034625657 0.0862134776205536 "2R" "Auto"
"6" 6 "LOC110176198" 0.00171852810265258 4.39320527687567 2.56817640011537 1.82502887676029 "M" 4.68386824640267e-56 4.56456668492874 3.65453202760553 0.910034657323202 "U" 0.00241426121738143 6.42231178668349e-56 -0.914994219437088 0.498641237358751 0.17136140805307 1.08635562749016 -0.91499421943709 0.139307177832629 1.51073794096709 "2R" "Auto"
"7" 7 "LOC110176180" 9.5618455294795e-05 5.82799828888194 4.64572504433348 1.18227324454846 "M" 1.95218356101015e-54 6.52121054525904 5.86360305490976 0.657607490349285 "U" 0.00023787050149156 2.65003964905059e-54 -0.524665754199175 0.556222931865841 0.6932122563771 1.21787801057628 -0.52466575419918 0.424804184176348 0.936250914976555 "2R" "Auto"
"8" 8 "LOC110176189" 0.000340663662192699 4.26443652141936 3.0033470122414 1.26108950917797 "M" 7.94584529086604e-16 4.51142493934856 4.18881563347549 0.322609305873069 "U" 0.000625302851445124 8.95595846168032e-16 -0.938480203304901 0.255817928485789 0.2469884179292 1.18546862123409 -0.93848020330489 0.206850656159067 1.40969940774435 "2R" "Auto"
"9" 9 "LOC110176153" 0.00144901984423497 10.7739958029358 8.78941938438337 1.98457641855243 "M" 1.32382436887117e-111 10.7115083971961 8.8815989562377 1.82990944095843 "M" 0.00208159759527729 2.74469209005843e-111 -0.154666977594 0.922065496622793 -0.0624874057397005 0.092179571854329 -0.154666977594029 -0.0207136990115037 0.0374555749618153 "2R" "Auto"
"10" 10 "LOC110176173" 0.00177222384723138 7.05988042242265 5.2024241666479 1.85745625577475 "M" 2.57452389632922e-130 7.40028037589653 5.73615967589269 1.66412070000385 "M" 0.00248042184790756 6.61744888141169e-130 -0.1933355557709 0.895913804069502 0.34039995347388 0.53373550924479 -0.19333555577091 0.172200383973698 0.36640577281707 "2R" "Auto"
"11" 11 "LOC110176164" 0.000877749627228256 7.57265384655154 5.9356210890192 1.63703275753234 "M" 8.91946887731818e-69 7.53734562825216 6.51870528285623 1.01864034539593 "M" 0.00135597539319855 1.31068024042677e-68 -0.61839241213641 0.622247991501054 -0.03530821829938 0.583084193837029 -0.618392412136409 -0.0166521251592752 0.350838356793099 "2R" "Auto"
"12" 12 "LOC110176142" 0.00322152977526678 7.65192238016194 6.1818701117437 1.47005226841824 "M" 1.25342302029157e-45 7.72273057319406 6.63145315052294 1.09127742267112 "M" 0.00423826132988165 1.62596762339648e-45 -0.37877484574712 0.742339198486679 0.0708081930321196 0.449583038779241 -0.378774845747121 0.0330487413648843 0.259735918241892 "2R" "Auto"
"13" 13 "LOC110176101" 1.72794079241131e-05 5.71634118862049 7.28029568173206 -1.56395449311156 "F" 5.30775310451034e-215 6.080949987355 7.52036495082508 -1.43941496347007 "F" 7.89529866410981e-05 5.16442413658337e-214 -0.12453952964149 0.920368827744014 0.36460879873451 0.24006926909302 0.12453952964149 0.227798558243324 0.117768602298966 "2R" "Auto"
"14" 14 "LOC110176110" 0.00232276236563264 9.46381256384253 7.21017428142039 2.25363828242214 "M" 1.62429774963826e-128 9.8011621359234 7.6958957202639 2.1052664156595 "M" 0.00314497560521743 4.08325375673638e-128 -0.14837186676264 0.934163406825352 0.337349572080869 0.48572143884351 -0.14837186676264 0.127308089859256 0.240593272330634 "2R" "Auto"
"15" 15 "LOC110176120" 0.0036389876933356 8.13385595065156 6.29520672787532 1.83864922277624 "M" 4.79391735482209e-103 8.38931745720607 6.4087278382189 1.98058961898717 "M" 0.00474475411237793 9.15286761357394e-103 0.14194039621093 1.07719819226672 0.255461506554511 0.11352111034358 0.141940396210931 0.112168512565788 0.0644033714009887 "2R" "Auto"
"16" 16 "LOC110176132" 0.000921623181233125 8.11738833465546 6.16344488666499 1.95394344799047 "M" 3.32753012009011e-128 8.60627466952595 6.84853994525314 1.7577347242728 "M" 0.0014148888177258 8.33308161778199e-128 -0.19620872371767 0.899583212646476 0.488886334870489 0.685095058588151 -0.196208723717661 0.215096599122059 0.396980602792441 "2R" "Auto"
"17" 17 "LOC110176211" 0.00048541276745254 3.44392470240923 1.81210380357952 1.63182089882971 "M" 1.54745786847643e-86 4.03622473668407 2.87193694096253 1.16428779572154 "M" 0.000831248295999999 2.56911214814801e-86 -0.46753310310817 0.713489940321594 0.59230003427484 1.05983313738301 -0.46753310310817 0.614228662951739 2.08879775006243 "2R" "Auto"
"18" 18 "LOC110176203" 5.86905682390448e-05 6.0681585488105 4.60368240637155 1.46447614243896 "M" 2.02031512119967e-95 6.7805660838876 5.65687382490428 1.12369225898332 "M" 0.000170251681175737 3.5841516684772e-95 -0.34078388345564 0.767299805315986 0.712407535077101 1.05319141853273 -0.34078388345563 0.419289081656264 0.817041140397818 "2R" "Auto"
"19" 19 "LOC110188514" 0.000101802136510393 6.17268161807672 4.12148274481926 2.05119887325746 "M" 7.90716673457572e-152 6.60243199352563 5.03920393880654 1.56322805471909 "M" 0.000248835886875511 2.69061891774631e-151 -0.48797081853837 0.762104579472864 0.42975037544891 0.91772119398728 -0.48797081853837 0.248647648530204 0.795241881561109 "2R" "Auto"
"20" 20 "LOC110190889" 0.00616032410957287 6.94490883789931 6.62835547793368 0.316553359965635 "U" 3.64542092192926e-105 6.85000278671555 6.19954410446273 0.650458682252817 "U" 0.00765891248599961 7.09746274239916e-105 0.333905322287182 2.05481528398066 -0.0949060511837594 -0.42881137347095 0.33390532228719 -0.0488055625654067 -0.231048137968167 "2R" "Auto"
"21" 21 "LOC110179568" 1.83695508236018e-06 4.77133602793415 5.8790098172663 -1.10767378933215 "F" 4.51748525182706e-44 4.69927465658428 5.13902327264664 -0.439748616062355 "U" 2.87879177652911e-05 5.8143004603111e-44 -0.667925173269795 0.397001915453369 -0.0720613713498697 -0.73998654461966 0.66792517326979 -0.0539391983772476 -0.449533028532387 "2R" "Auto"
"22" 22 "LOC110182331" 0.00010085438150043 8.03845356006167 7.7007456583752 0.337707901686465 "U" 7.91948348848461e-42 8.10387369382789 7.80824017628133 0.295633517546565 "U" 0.000246925822035338 1.00680915430372e-41 -0.0420743841399 0.875411904993083 0.065420133766219 0.10749451790613 -0.0420743841399105 0.029065706871803 0.0498534829681536 "2R" "Auto"
