"scaff" "geneID" "CHROM"
"1" "ScA8VGg_100;HRSCAF=169" "LOC110178064" "NA"
"2" "ScA8VGg_100;HRSCAF=169" "LOC110178063" "NA"
"3" "ScA8VGg_100;HRSCAF=169" "LOC110178062" "NA"
"4" "ScA8VGg_100;HRSCAF=169" "LOC110178061" "NA"
"5" "ScA8VGg_102;HRSCAF=175" "LOC110178071" "NA"
"6" "ScA8VGg_107;HRSCAF=183" "LOC110178440" "NA"
"7" "ScA8VGg_109;HRSCAF=190" "LOC110178582" "NA"
"8" "ScA8VGg_10;HRSCAF=19" "LOC110183269" "NA"
"9" "ScA8VGg_10;HRSCAF=19" "LOC110183261" "NA"
"10" "ScA8VGg_110;HRSCAF=193" "LOC110178698" "NA"
"11" "ScA8VGg_110;HRSCAF=193" "LOC110178693" "NA"
"12" "ScA8VGg_110;HRSCAF=193" "LOC110178695" "NA"
"13" "ScA8VGg_110;HRSCAF=193" "LOC110178694" "NA"
"14" "ScA8VGg_110;HRSCAF=193" "LOC110178696" "NA"
"15" "ScA8VGg_113;HRSCAF=199" "LOC110178710" "NA"
"16" "ScA8VGg_113;HRSCAF=199" "LOC110178708" "NA"
"17" "ScA8VGg_113;HRSCAF=199" "LOC110178709" "NA"
"18" "ScA8VGg_113;HRSCAF=199" "LOC110179967" "NA"
"19" "ScA8VGg_113;HRSCAF=199" "LOC110179989" "NA"
"20" "ScA8VGg_113;HRSCAF=199" "LOC110179990" "NA"
"21" "ScA8VGg_113;HRSCAF=199" "LOC110179999" "NA"
"22" "ScA8VGg_113;HRSCAF=199" "LOC110179991" "NA"
"23" "ScA8VGg_113;HRSCAF=199" "LOC110179993" "NA"
"24" "ScA8VGg_113;HRSCAF=199" "LOC110179988" "NA"
"25" "ScA8VGg_113;HRSCAF=199" "LOC110180001" "NA"
"26" "ScA8VGg_113;HRSCAF=199" "LOC110179994" "NA"
"27" "ScA8VGg_113;HRSCAF=199" "LOC110180000" "NA"
"28" "ScA8VGg_113;HRSCAF=199" "LOC110179995" "NA"
"29" "ScA8VGg_113;HRSCAF=199" "LOC110179979" "NA"
"30" "ScA8VGg_113;HRSCAF=199" "LOC110179996" "NA"
"31" "ScA8VGg_113;HRSCAF=199" "LOC110179976" "NA"
"32" "ScA8VGg_113;HRSCAF=199" "LOC110179972" "NA"
"33" "ScA8VGg_113;HRSCAF=199" "LOC110179971" "NA"
"34" "ScA8VGg_113;HRSCAF=199" "LOC110179974" "NA"
"35" "ScA8VGg_113;HRSCAF=199" "LOC110179973" "NA"
"36" "ScA8VGg_113;HRSCAF=199" "LOC110179975" "NA"
"37" "ScA8VGg_113;HRSCAF=199" "LOC110179986" "NA"
"38" "ScA8VGg_113;HRSCAF=199" "LOC110179987" "NA"
"39" "ScA8VGg_113;HRSCAF=199" "LOC110179984" "NA"
"40" "ScA8VGg_113;HRSCAF=199" "LOC110179968" "NA"
"41" "ScA8VGg_113;HRSCAF=199" "LOC110179970" "NA"
"42" "ScA8VGg_113;HRSCAF=199" "LOC110179965" "NA"
"43" "ScA8VGg_113;HRSCAF=199" "LOC110179964" "NA"
"44" "ScA8VGg_113;HRSCAF=199" "LOC110179978" "NA"
"45" "ScA8VGg_113;HRSCAF=199" "LOC110179981" "NA"
"46" "ScA8VGg_113;HRSCAF=199" "LOC110179982" "NA"
"47" "ScA8VGg_113;HRSCAF=199" "LOC110179980" "NA"
"48" "ScA8VGg_113;HRSCAF=199" "LOC110180002" "NA"
"49" "ScA8VGg_113;HRSCAF=199" "LOC110179966" "NA"
"50" "ScA8VGg_113;HRSCAF=199" "LOC110179983" "NA"
"51" "ScA8VGg_113;HRSCAF=199" "LOC110179998" "NA"
"52" "ScA8VGg_114;HRSCAF=200" "LOC110178836" "NA"
"53" "ScA8VGg_114;HRSCAF=200" "LOC110178837" "NA"
"54" "ScA8VGg_114;HRSCAF=200" "LOC110178839" "NA"
"55" "ScA8VGg_118;HRSCAF=206" "LOC110184119" "NA"
"56" "ScA8VGg_118;HRSCAF=206" "LOC110180592" "NA"
"57" "ScA8VGg_118;HRSCAF=206" "LOC110180594" "NA"
"58" "ScA8VGg_118;HRSCAF=206" "LOC110182648" "NA"
"59" "ScA8VGg_118;HRSCAF=206" "LOC110182646" "NA"
"60" "ScA8VGg_11;HRSCAF=21" "LOC110183355" "NA"
"61" "ScA8VGg_11;HRSCAF=21" "LOC110183376" "NA"
"62" "ScA8VGg_11;HRSCAF=21" "LOC110183340" "NA"
"63" "ScA8VGg_122;HRSCAF=219" "LOC110179135" "NA"
"64" "ScA8VGg_122;HRSCAF=219" "LOC110179134" "NA"
"65" "ScA8VGg_122;HRSCAF=219" "LOC110179133" "NA"
"66" "ScA8VGg_123;HRSCAF=220" "LOC110179136" "NA"
"67" "ScA8VGg_129;HRSCAF=232" "LOC110179262" "NA"
"68" "ScA8VGg_12;HRSCAF=23" "LOC110183419" "NA"
"69" "ScA8VGg_12;HRSCAF=23" "LOC110183409" "NA"
"70" "ScA8VGg_137;HRSCAF=244" "LOC110179400" "NA"
"71" "ScA8VGg_13;HRSCAF=24" "LOC110183439" "NA"
"72" "ScA8VGg_14;HRSCAF=27" "LOC110183639" "NA"
"73" "ScA8VGg_156;HRSCAF=269" "LOC110179657" "NA"
"74" "ScA8VGg_16;HRSCAF=29" "LOC110183664" "NA"
"75" "ScA8VGg_179;HRSCAF=295" "LOC110179742" "NA"
"76" "ScA8VGg_179;HRSCAF=295" "LOC110179743" "NA"
"77" "ScA8VGg_179;HRSCAF=295" "LOC110179744" "NA"
"78" "ScA8VGg_179;HRSCAF=295" "LOC110179739" "NA"
"79" "ScA8VGg_17;HRSCAF=30" "LOC110183673" "NA"
"80" "ScA8VGg_17;HRSCAF=30" "LOC110183682" "NA"
"81" "ScA8VGg_183;HRSCAF=300" "LOC110179765" "NA"
"82" "ScA8VGg_191;HRSCAF=311" "LOC110179780" "NA"
"83" "ScA8VGg_191;HRSCAF=311" "LOC110179777" "NA"
"84" "ScA8VGg_191;HRSCAF=311" "LOC110179782" "NA"
"85" "ScA8VGg_192;HRSCAF=315" "LOC110187262" "NA"
"86" "ScA8VGg_192;HRSCAF=315" "LOC110187261" "NA"
"87" "ScA8VGg_192;HRSCAF=315" "LOC110179963" "NA"
"88" "ScA8VGg_192;HRSCAF=315" "LOC110179962" "NA"
"89" "ScA8VGg_192;HRSCAF=315" "LOC110187231" "NA"
"90" "ScA8VGg_192;HRSCAF=315" "LOC110187204" "NA"
"91" "ScA8VGg_192;HRSCAF=315" "LOC110187205" "NA"
"92" "ScA8VGg_192;HRSCAF=315" "LOC110187230" "NA"
"93" "ScA8VGg_192;HRSCAF=315" "LOC110187211" "NA"
"94" "ScA8VGg_192;HRSCAF=315" "LOC110187213" "NA"
"95" "ScA8VGg_192;HRSCAF=315" "LOC110187236" "NA"
"96" "ScA8VGg_192;HRSCAF=315" "LOC110187235" "NA"
"97" "ScA8VGg_192;HRSCAF=315" "LOC110187232" "NA"
"98" "ScA8VGg_192;HRSCAF=315" "LOC110187234" "NA"
"99" "ScA8VGg_192;HRSCAF=315" "LOC110187228" "NA"
"100" "ScA8VGg_192;HRSCAF=315" "LOC110187248" "NA"
"101" "ScA8VGg_192;HRSCAF=315" "LOC110187224" "NA"
"102" "ScA8VGg_192;HRSCAF=315" "LOC110187216" "NA"
"103" "ScA8VGg_192;HRSCAF=315" "LOC110187215" "NA"
"104" "ScA8VGg_192;HRSCAF=315" "LOC110187217" "NA"
"105" "ScA8VGg_192;HRSCAF=315" "LOC110187206" "NA"
"106" "ScA8VGg_192;HRSCAF=315" "LOC110187227" "NA"
"107" "ScA8VGg_192;HRSCAF=315" "LOC110187209" "NA"
"108" "ScA8VGg_192;HRSCAF=315" "LOC110187246" "NA"
"109" "ScA8VGg_192;HRSCAF=315" "LOC110187244" "NA"
"110" "ScA8VGg_192;HRSCAF=315" "LOC110187241" "NA"
"111" "ScA8VGg_192;HRSCAF=315" "LOC110187242" "NA"
"112" "ScA8VGg_192;HRSCAF=315" "LOC110187245" "NA"
"113" "ScA8VGg_192;HRSCAF=315" "LOC110187247" "NA"
"114" "ScA8VGg_192;HRSCAF=315" "LOC110187210" "NA"
"115" "ScA8VGg_192;HRSCAF=315" "LOC110187239" "NA"
"116" "ScA8VGg_192;HRSCAF=315" "LOC110187240" "NA"
"117" "ScA8VGg_192;HRSCAF=315" "LOC110187238" "NA"
"118" "ScA8VGg_192;HRSCAF=315" "LOC110187237" "NA"
"119" "ScA8VGg_192;HRSCAF=315" "LOC110187249" "NA"
"120" "ScA8VGg_192;HRSCAF=315" "LOC110187218" "NA"
"121" "ScA8VGg_192;HRSCAF=315" "LOC110187208" "NA"
"122" "ScA8VGg_192;HRSCAF=315" "LOC110187207" "NA"
"123" "ScA8VGg_192;HRSCAF=315" "LOC110187203" "NA"
"124" "ScA8VGg_192;HRSCAF=315" "LOC110187221" "NA"
"125" "ScA8VGg_192;HRSCAF=315" "LOC110187214" "NA"
"126" "ScA8VGg_192;HRSCAF=315" "LOC110187219" "NA"
"127" "ScA8VGg_192;HRSCAF=315" "LOC110187202" "NA"
"128" "ScA8VGg_192;HRSCAF=315" "LOC110179952" "NA"
"129" "ScA8VGg_192;HRSCAF=315" "LOC110179951" "NA"
"130" "ScA8VGg_192;HRSCAF=315" "LOC110179950" "NA"
"131" "ScA8VGg_192;HRSCAF=315" "LOC110179953" "NA"
"132" "ScA8VGg_192;HRSCAF=315" "LOC110187270" "NA"
"133" "ScA8VGg_192;HRSCAF=315" "LOC110187271" "NA"
"134" "ScA8VGg_192;HRSCAF=315" "LOC110187277" "NA"
"135" "ScA8VGg_192;HRSCAF=315" "LOC110187263" "NA"
"136" "ScA8VGg_192;HRSCAF=315" "LOC110187264" "NA"
"137" "ScA8VGg_192;HRSCAF=315" "LOC110187266" "NA"
"138" "ScA8VGg_192;HRSCAF=315" "LOC110187274" "NA"
"139" "ScA8VGg_192;HRSCAF=315" "LOC110187273" "NA"
"140" "ScA8VGg_192;HRSCAF=315" "LOC110187269" "NA"
"141" "ScA8VGg_192;HRSCAF=315" "LOC110187267" "NA"
"142" "ScA8VGg_192;HRSCAF=315" "LOC110187284" "NA"
"143" "ScA8VGg_192;HRSCAF=315" "LOC110187279" "NA"
"144" "ScA8VGg_192;HRSCAF=315" "LOC110187276" "NA"
"145" "ScA8VGg_192;HRSCAF=315" "LOC110187283" "NA"
"146" "ScA8VGg_192;HRSCAF=315" "LOC110187275" "NA"
"147" "ScA8VGg_192;HRSCAF=315" "LOC110187272" "NA"
"148" "ScA8VGg_192;HRSCAF=315" "LOC110187265" "NA"
"149" "ScA8VGg_192;HRSCAF=315" "LOC110187280" "NA"
"150" "ScA8VGg_192;HRSCAF=315" "LOC110187281" "NA"
"151" "ScA8VGg_192;HRSCAF=315" "LOC110180503" "NA"
"152" "ScA8VGg_192;HRSCAF=315" "LOC110180502" "NA"
"153" "ScA8VGg_192;HRSCAF=315" "LOC110184977" "NA"
"154" "ScA8VGg_192;HRSCAF=315" "LOC110184973" "NA"
"155" "ScA8VGg_192;HRSCAF=315" "LOC110184942" "NA"
"156" "ScA8VGg_192;HRSCAF=315" "LOC110185002" "NA"
"157" "ScA8VGg_192;HRSCAF=315" "LOC110185003" "NA"
"158" "ScA8VGg_192;HRSCAF=315" "LOC110185004" "NA"
"159" "ScA8VGg_192;HRSCAF=315" "LOC110184990" "NA"
"160" "ScA8VGg_192;HRSCAF=315" "LOC110184989" "NA"
"161" "ScA8VGg_192;HRSCAF=315" "LOC110184970" "NA"
"162" "ScA8VGg_192;HRSCAF=315" "LOC110184963" "NA"
"163" "ScA8VGg_192;HRSCAF=315" "LOC110184972" "NA"
"164" "ScA8VGg_192;HRSCAF=315" "LOC110184948" "NA"
"165" "ScA8VGg_192;HRSCAF=315" "LOC110184949" "NA"
"166" "ScA8VGg_192;HRSCAF=315" "LOC110184957" "NA"
"167" "ScA8VGg_192;HRSCAF=315" "LOC110184992" "NA"
"168" "ScA8VGg_192;HRSCAF=315" "LOC110184993" "NA"
"169" "ScA8VGg_192;HRSCAF=315" "LOC110184994" "NA"
"170" "ScA8VGg_192;HRSCAF=315" "LOC110184995" "NA"
"171" "ScA8VGg_192;HRSCAF=315" "LOC110184947" "NA"
"172" "ScA8VGg_192;HRSCAF=315" "LOC110185001" "NA"
"173" "ScA8VGg_192;HRSCAF=315" "LOC110184971" "NA"
"174" "ScA8VGg_192;HRSCAF=315" "LOC110184996" "NA"
"175" "ScA8VGg_192;HRSCAF=315" "LOC110184999" "NA"
"176" "ScA8VGg_192;HRSCAF=315" "LOC110184998" "NA"
"177" "ScA8VGg_192;HRSCAF=315" "LOC110184997" "NA"
"178" "ScA8VGg_192;HRSCAF=315" "LOC110184955" "NA"
"179" "ScA8VGg_192;HRSCAF=315" "LOC110184953" "NA"
"180" "ScA8VGg_192;HRSCAF=315" "LOC110184956" "NA"
"181" "ScA8VGg_192;HRSCAF=315" "LOC110184969" "NA"
"182" "ScA8VGg_192;HRSCAF=315" "LOC110184950" "NA"
"183" "ScA8VGg_192;HRSCAF=315" "LOC110184985" "NA"
"184" "ScA8VGg_192;HRSCAF=315" "LOC110184986" "NA"
"185" "ScA8VGg_192;HRSCAF=315" "LOC110184987" "NA"
"186" "ScA8VGg_192;HRSCAF=315" "LOC110184961" "NA"
"187" "ScA8VGg_192;HRSCAF=315" "LOC110184968" "NA"
"188" "ScA8VGg_192;HRSCAF=315" "LOC110185005" "NA"
